||||
|:-:|:-:|
|1|3|25|298935|
|2|7|26|125829105|
|3|15|27|17895697|
|4|21|28|402653181|
|5|63|29|10845877|
|6|127|30|2097151|
|7|63|31|1023|
|8|73|32|1057|
|9|889|33|255652815|
|10|1533|34|3681400539|
|11|3255|35|22839252821|
|12|7905|36|137438167041|
|13|11811|37|25769803773|
|14|32767|38|178979337621|
|15|255|39|320319056211|
|16|273|40|545460846465|
|17|253921|41|1374389534715|
|18|413385|42|8521215115233|
|19|761763|43|12781822672803|
|20|5461|44|137434726401|
|21|4194303|45|23456248059221|
|22|2088705|46|1466015503701|
|23|2097151|47|40209483820471|
|24|10961685|48|64677154575|
